period|nome|value|id
1956.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,4167E-13|33593
1956.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,5474E-13|33593
1956.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,6201E-13|33593
1956.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,7073E-13|33593
1956.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,8671E-13|33593
1956.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,9397E-13|33593
1956.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,9978E-13|33593
1956.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,0124E-13|33593
1957.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,2303E-13|33593
1957.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,2303E-13|33593
1957.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,2158E-13|33593
1957.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,2012E-13|33593
1957.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,1867E-13|33593
1957.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,1867E-13|33593
1957.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,2012E-13|33593
1957.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,2303E-13|33593
1957.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,2158E-13|33593
1957.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,2303E-13|33593
1957.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,2884E-13|33593
1957.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,3610E-13|33593
1958.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,4337E-13|33593
1958.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,4627E-13|33593
1958.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,5354E-13|33593
1958.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,6080E-13|33593
1958.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,7097E-13|33593
1958.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,7243E-13|33593
1958.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,8260E-13|33593
1958.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,9422E-13|33593
1958.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|6,1165E-13|33593
1958.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|6,3345E-13|33593
1958.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|6,5960E-13|33593
1958.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|6,6686E-13|33593
1959.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|6,9447E-13|33593
1959.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|7,4386E-13|33593
1959.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|7,5549E-13|33593
1959.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|7,7147E-13|33593
1959.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|7,8018E-13|33593
1959.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|7,8890E-13|33593
1959.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|8,0634E-13|33593
1959.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|8,4411E-13|33593
1959.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|8,6590E-13|33593
1959.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|8,8624E-13|33593
1959.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|9,1821E-13|33593
1959.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|9,2983E-13|33593
