tempo|week|week_int|year|account_id|account_name|webproperty_id|webproperty_name|webproperty_level|webproperty_website_url|profile_currency|profile_type|profile_website_url|profile_id|profile_name|users|bounces|new_users|pageviews|sessions|time_on_page|unique_pageviews|upload_time|info|period
20201219|51|0002|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|15|14|12|16|15|515.0|15|2021-02-21 22:58:32.426159|basic|day
20201220|51|0003|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|6|6|3|6|6|0.0|6|2021-02-21 22:58:32.426159|basic|day
20201221|52|0003|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|9|9|6|9|9|0.0|9|2021-02-21 22:58:32.426159|basic|day
20201222|52|0003|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|9|11|5|11|11|0.0|11|2021-02-21 22:58:32.426159|basic|day
20201223|52|0003|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|12|15|3|15|15|0.0|15|2021-02-21 22:58:32.426159|basic|day
20201224|52|0003|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|9|9|3|9|9|0.0|9|2021-02-21 22:58:32.426159|basic|day
20201225|52|0003|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|8|7|2|9|8|96.0|8|2021-02-21 22:58:32.426159|basic|day
20201226|52|0003|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|8|9|6|25|10|34.0|19|2021-02-21 22:58:32.426159|basic|day
20201227|52|0004|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|9|9|5|9|9|0.0|9|2021-02-21 22:58:32.426159|basic|day
20201228|53|0004|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|9|12|6|12|12|0.0|12|2021-02-21 22:58:32.426159|basic|day
