DCM_HUB_REACH_BBI

Date/Time Generated,3/7/21 9:35 PM
Report Time Zone,America/Sao_Paulo
Account ID,563003
Date Range,1/1/21 - 3/7/21
Advertiser,Equals:Performance | Abertura de Conta PF (9599074)
Advertiser,Equals:Performance | Acordo (Renegociacao) (9595141)
Advertiser,Equals:Performance | Cartoes de Credito (9595196)
MRC Accredited Metrics,None,Active View metrics are accredited only when Measurement Source = Measured
"Reporting numbers are finalized after seven days, unless communicated otherwise."

Report Fields
Advertiser,Country,Month,Unique Reach: Impression Reach,Unique Reach: Click Reach,Unique Reach: Total Reach
Performance | Abertura de Conta PF,Micronesia,2021-03,-,0,-
Performance | Abertura de Conta PF,Moldova,2021-01,-,0,-
Performance | Abertura de Conta PF,Moldova,2021-02,-,0,-
Performance | Abertura de Conta PF,Moldova,2021-03,0,-,-
Performance | Abertura de Conta PF,Monaco,2021-02,-,0,-
Performance | Abertura de Conta PF,Mongolian Peoples Rep.,2021-01,-,0,-
Performance | Abertura de Conta PF,Mongolian Peoples Rep.,2021-02,-,0,-
Performance | Abertura de Conta PF,Montenegro,2021-01,-,0,-
Performance | Abertura de Conta PF,Montenegro,2021-02,-,0,-
Performance | Abertura de Conta PF,Morocco,2021-01,138,-,142
Performance | Abertura de Conta PF,Morocco,2021-02,140,-,141
Performance | Abertura de Conta PF,Morocco,2021-03,-,-,-
Performance | Abertura de Conta PF,Mozambique,2021-01,-,-,-
Performance | Abertura de Conta PF,Mozambique,2021-02,-,-,-
Performance | Abertura de Conta PF,Mozambique,2021-03,-,-,-
Performance | Abertura de Conta PF,Nepal,2021-01,-,-,-
Performance | Abertura de Conta PF,Nepal,2021-02,-,0,-
Performance | Abertura de Conta PF,Nepal,2021-03,-,0,-
Performance | Abertura de Conta PF,Netherlands,2021-01,-,243,2109
Performance | Abertura de Conta PF,Netherlands,2021-02,-,124,521
Performance | Abertura de Conta PF,Netherlands,2021-03,202,-,216
Performance | Abertura de Conta PF,New Caledonia,2021-02,-,0,-
Performance | Abertura de Conta PF,New Zealand,2021-01,236,-,239
Performance | Abertura de Conta PF,New Zealand,2021-02,121,0,121
Performance | Abertura de Conta PF,New Zealand,2021-03,-,0,-
Performance | Abertura de Conta PF,Nicaragua,2021-01,-,-,-
Performance | Abertura de Conta PF,Nicaragua,2021-02,-,-,-
Performance | Abertura de Conta PF,Nicaragua,2021-03,-,0,-
Performance | Abertura de Conta PF,Niger Rep.,2021-01,-,0,-
Performance | Abertura de Conta PF,Niger Rep.,2021-02,-,0,-
Performance | Abertura de Conta PF,"Nigeria, Fed. Rep.",2021-01,-,-,114
Performance | Abertura de Conta PF,"Nigeria, Fed. Rep.",2021-02,135,-,142
Performance | Abertura de Conta PF,"Nigeria, Fed. Rep.",2021-03,-,-,-
Performance | Abertura de Conta PF,Norway,2021-01,256,-,259
Performance | Abertura de Conta PF,Norway,2021-02,143,-,149
Performance | Abertura de Conta PF,Norway,2021-03,-,-,-
Performance | Abertura de Conta PF,Oman,2021-01,-,-,-
Performance | Abertura de Conta PF,Oman,2021-02,-,0,-
Performance | Abertura de Conta PF,Oman,2021-03,-,0,-
Performance | Abertura de Conta PF,PALESTINIAN TERRITORIES,2021-01,-,0,-
Performance | Abertura de Conta PF,PALESTINIAN TERRITORIES,2021-02,-,0,-
Performance | Abertura de Conta PF,PALESTINIAN TERRITORIES,2021-03,-,0,-
Performance | Abertura de Conta PF,Pakistan,2021-01,286,159,426
Performance | Abertura de Conta PF,Pakistan,2021-02,-,158,237
Performance | Abertura de Conta PF,Pakistan,2021-03,-,-,-
Performance | Abertura de Conta PF,Palau,2021-02,-,0,-
Performance | Abertura de Conta PF,Panama,2021-01,1128,-,1203
Performance | Abertura de Conta PF,Panama,2021-02,760,-,803
Performance | Abertura de Conta PF,Panama,2021-03,215,-,226
Performance | Abertura de Conta PF,Papua New Guinea,2021-01,-,0,-
Performance | Abertura de Conta PF,Paraguay,2021-01,-,-,-
Performance | Abertura de Conta PF,Paraguay,2021-02,-,-,-
Performance | Abertura de Conta PF,Paraguay,2021-03,-,-,-
