tempo|goal|account_id|account_name|webproperty_id|webproperty_name|webproperty_level|webproperty_website_url|profile_currency|profile_type|profile_website_url|profile_id|profile_name|assistedConversions|upload_time|info|period
20201205|014|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|10728|2021-02-23 19:14:38.068518|basic|day
20201205|015|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|94639|2021-02-23 19:14:38.068518|basic|day
20201205|016|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|1847|2021-02-23 19:14:38.068518|basic|day
20201205|017|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|284|2021-02-23 19:14:38.068518|basic|day
20201205|018|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|7858|2021-02-23 19:14:38.068518|basic|day
20201205|019|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|14640|2021-02-23 19:14:38.068518|basic|day
20201206|(not set)|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|4723320|2021-02-23 19:14:38.068518|basic|day
20201206|002|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|509|2021-02-23 19:14:38.068518|basic|day
20201206|003|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|1|2021-02-23 19:14:38.068518|basic|day
20201206|004|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|1|2021-02-23 19:14:38.068518|basic|day
20201206|005|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|5|2021-02-23 19:14:38.068518|basic|day
20201206|006|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|0|2021-02-23 19:14:38.068518|basic|day
20201206|008|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|4|2021-02-23 19:14:38.068518|basic|day
20201206|009|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|1|2021-02-23 19:14:38.068518|basic|day
20201206|012|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|525|2021-02-23 19:14:38.068518|basic|day
20201206|013|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|10276|2021-02-23 19:14:38.068518|basic|day
20201206|014|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|11016|2021-02-23 19:14:38.068518|basic|day
20201206|015|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|103874|2021-02-23 19:14:38.068518|basic|day
20201206|016|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|371|2021-02-23 19:14:38.068518|basic|day
20201206|017|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|205|2021-02-23 19:14:38.068518|basic|day
20201206|018|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|7799|2021-02-23 19:14:38.068518|basic|day
20201206|019|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|14719|2021-02-23 19:14:38.068518|basic|day
20201207|(not set)|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|10322889|2021-02-23 19:14:38.068518|basic|day
20201207|002|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|1515|2021-02-23 19:14:38.068518|basic|day
20201207|003|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|7|2021-02-23 19:14:38.068518|basic|day
20201207|004|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|1|2021-02-23 19:14:38.068518|basic|day
20201207|005|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|10|2021-02-23 19:14:38.068518|basic|day
20201207|006|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|4|2021-02-23 19:14:38.068518|basic|day
20201207|007|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|1|2021-02-23 19:14:38.068518|basic|day
20201207|008|101785796|BR - Santander|UA-101785796-1|BR - Santander - Web|PREMIUM|http://www.santander.com.br|BRL|WEB|http://www.santander.com.br|169440724|BR - Santander - Web - Cartões|4|2021-02-23 19:14:38.068518|basic|day
