ano_mes|year|page_path|account_id|account_name|webproperty_id|webproperty_name|webproperty_level|webproperty_website_url|profile_currency|profile_type|profile_website_url|profile_id|profile_name|users|bounces|new_users|pageviews|sessions|time_on_page|unique_pageviews|upload_time|info|period
12|2020|"/poa/o-farol/galeria?amp;amp;utm_medium=social-ads&amp;amp;utm_campaign=caps|pf|awar|face-stories|farol-snt|cpm|na|snt|rede-social|interesses&amp;amp;utm_content=memoriaeidentidade|farol-snt|interesses|artes-e-exposicoes|video|caps-haus|social-ads|m6569-16534-1&amp;amp;utm_mmm=:m6569-g16534-p16534[t550]5948:&amp;amp;utm_adid=m6569-16534-1&amp;amp;utm_publisher_id=&amp;amp;utm_id=fb_cmp-{{campaign.id}}_adg-{{adset.id}}_ad-{{ad.id}}"|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|3|3|3|3|3|0.0|3|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/o-farol/galeria?utm_mmm=:m6568-g16497-p16497[t550]5947:&utm_adid=m6568-16497-1&utm_publisher_id=|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|21|20|20|22|21|19.0|21|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/o-farol/galeria?utm_mmm=:m6569-g16504-p16504[t550]5948:&utm_adid=m6569-16504-1&utm_publisher_id=|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|17|18|16|21|19|556.0|19|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/o-farol/galeria?utm_mmm=:m6569-g16534-p16534[t550]5948:&utm_adid=m6569-16534-1&utm_publisher_id=|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|17|22|16|22|22|0.0|22|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/o-farol/grande-hall|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|35|11|16|36|16|613.0|35|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/o-farol/restaurante-moeda|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|26|3|3|31|3|1777.0|26|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/o-farol/subsolo|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|66|1|0|82|1|6135.0|69|2021-02-21 23:33:18.052801|basic|month
12|2020|"/poa/o-farol/subsolo?amp;amp;utm_medium=social-ads&amp;amp;utm_campaign=caps|pf|awar|face-stories|farol-snt|cpm|na|snt|rede-social|interesses&amp;amp;utm_content=ooutroladodamoeda|farol-snt|interesses|artes-e-exposicoes|video|caps-haus|social-ads|m6569-16538-1&amp;amp;utm_mmm=:m6569-g16538-p16538[t550]5948:&amp;amp;utm_adid=m6569-16538-1&amp;amp;utm_publisher_id=&amp;amp;utm_id=fb_cmp-{{campaign.id}}_adg-{{adset.id}}_ad-{{ad.id}}"|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|2|2|2|2|2|0.0|2|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/o-farol/subsolo?utm_mmm=:m6293-g15508-p15508[t550]5682:&utm_adid=m6293-15508-1&utm_publisher_id=|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|1|3|1|3|3|0.0|3|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/o-farol/subsolo?utm_mmm=:m6568-g16499-p16499[t550]5947:&utm_adid=m6568-16499-1&utm_publisher_id=|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|28|27|27|29|28|6.0|28|2021-02-21 23:33:18.052801|basic|month
